Timestamp,Matchup,Team A,Team B,Proj A %,Proj B %,Market Implied A %,Market Implied B %,Edge A %,Edge B %
2026-05-15 20:00:05,KC vs STL,KC,STL,0.625,0.375,0.465,0.574,0.160,-0.199
2026-05-15 20:15:29,KC vs STL,KC,STL,0.625,0.375,0.465,0.574,0.160,-0.199
2026-05-15 20:25:54,KC vs STL,KC,STL,0.625,0.375,0.465,0.574,0.160,-0.199
2026-05-15 20:29:04,KC vs STL,KC,STL,0.694,0.306,0.465,0.574,0.229,-0.268
2026-05-15 20:30:13,KC vs STL,KC,STL,0.694,0.306,0.465,0.574,0.229,-0.268
2026-05-15 20:32:11,KC vs STL,KC,STL,0.694,0.306,0.465,0.574,0.229,-0.268
2026-05-15 21:13:24,KC vs STL,KC,STL,0.694,0.306,0.465,0.574,0.229,-0.268
2026-05-15 21:14:53,KC vs STL,KC,STL,0.694,0.306,0.465,0.574,0.229,-0.268
2026-05-16 15:57:06,TOR vs DET,TOR,DET,0.382,0.618,0.500,0.500,-0.118,0.118
2026-05-16 15:57:13,KC vs STL,KC,STL,0.331,0.669,0.465,0.574,-0.134,0.095
2026-05-16 15:57:14,ARI vs COL,ARI,COL,0.717,0.283,0.500,0.500,0.217,-0.217
2026-05-16 16:15:26,ARI vs COL,ARI,COL,0.583,0.417,0.500,0.500,0.083,-0.083
2026-05-16 16:15:26,KC vs STL,KC,STL,0.389,0.611,0.465,0.574,-0.076,0.037
2026-05-16 19:10:40,KC vs STL,KC,STL,0.357,0.643,0.465,0.574,-0.108,0.069
2026-06-16 20:23:37,SYSTEM_AUTO_RUN,SUCCESS
